ID;Kreise;Maennlich;Weiblich;Insgesamt
15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-
15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-
15159;Köthen, Landkreis (bis 30.06.2007);-;-;-
15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-
15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-
15256;Burgenlandkreis (bis 30.06.2007);-;-;-
15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-
15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-
15265;Saalkreis (bis 30.06.2007);-;-;-
15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-
15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-
15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-
15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-
15355;Bördekreis (bis 30.06.2007);-;-;-
15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-
15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-
15362;Ohrekreis (bis 30.06.2007);-;-;-
15363;Stendal, Landkreis (bis 30.06.2007);-;-;-
15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-
15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-
15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-
15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-
16051;Erfurt, kreisfreie Stadt;102577;108536;211113
16052;Gera, kreisfreie Stadt;45757;48993;94750
16053;Jena, kreisfreie Stadt;54968;55353;110321
16054;Suhl, kreisfreie Stadt;17337;18271;35608
16055;Weimar, kreisfreie Stadt;31152;33203;64355
16056;Eisenach, kreisfreie Stadt;20969;21619;42588
16061;Eichsfeld, Landkreis;50772;50261;101033
16062;Nordhausen, Landkreis;42163;42935;85098
16063;Wartburgkreis;62377;62352;124729
16064;Unstrut-Hainich-Kreis;51550;52398;103948
16065;Kyffhäuserkreis;38157;38528;76685
16066;Schmalkalden-Meiningen, Landkreis;61734;61772;123506
16067;Gotha, Landkreis;67404;68026;135430
16068;Sömmerda, Landkreis;35055;35063;70118
16069;Hildburghausen, Landkreis;32207;32123;64330
16070;Ilm-Kreis;54789;54378;109167
16071;Weimarer Land, Landkreis;40868;41448;82316
16072;Sonneberg, Landkreis;27757;28750;56507
16073;Saalfeld-Rudolstadt, Landkreis;53288;55027;108315
16074;Saale-Holzland-Kreis;42209;42316;84525
16075;Saale-Orla-Kreis;40763;41599;82362
16076;Greiz, Landkreis;49107;50610;99717
16077;Altenburger Land, Landkreis;44918;46689;91607
